# note=autonomous_lap
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward295.0_20260610_195556.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
3.4,0,0.0000,0.7985,0.3781,0.0000,0.7985,0.3781,0.0288,0.0077,0.0423,CENTERED,-1
73.5,1,0.0000,0.7635,0.4496,0.0000,0.7285,0.5210,0.0245,0.0074,0.0418,MOSTLY CENTERED,-1
144.5,2,0.0000,0.7634,0.4507,0.0000,0.7634,0.4507,0.0270,0.0073,0.0427,DRIFT RIGHT — too close to right line,0
213.6,3,0.0000,0.7809,0.4144,0.1500,0.9228,0.0000,0.0376,0.0012,0.0323,MOSTLY CENTERED,-1
300.0,4,0.0000,0.7634,0.3781,0.5897,0.7052,0.0000,0.0422,0.0000,0.0230,CENTERED,-1
354.1,5,0.1500,0.7285,0.0000,0.9895,0.5008,0.0000,0.0578,0.0045,0.0195,CENTERED,1
425.4,6,0.5897,0.7052,0.0000,1.0000,0.1551,0.0000,0.0743,0.0005,0.0063,DRIFT LEFT — too close to left line,0
497.3,7,0.9895,0.5008,0.0000,1.0000,0.2239,0.0000,0.0835,0.0007,0.0105,DRIFT LEFT — too close to left line,0
566.9,8,1.0000,0.4648,0.0000,1.0000,0.4648,0.0000,0.0538,0.0000,0.0163,DRIFT LEFT — too close to left line,0
636.7,9,1.0000,0.4648,0.0000,1.0000,0.4702,0.0000,0.0549,0.0000,0.0169,DRIFT LEFT — too close to left line,1
706.6,10,1.0000,0.4597,0.0000,1.0000,0.4597,0.0000,0.0537,0.0000,0.0160,DRIFT LEFT — too close to left line,1
776.8,11,1.0000,0.4597,0.0000,1.0000,0.4583,0.0000,0.0583,0.0000,0.0173,DRIFT LEFT — too close to left line,0
848.4,12,1.0000,0.4648,0.0000,0.4291,0.7855,0.0000,0.0338,0.0000,0.0219,DRIFT LEFT — too close to left line,0
920.1,13,1.0000,0.4702,0.0000,0.0000,0.5001,0.9997,0.0157,0.0000,0.0472,DRIFT LEFT — too close to left line,0
992.1,14,0.4291,0.4597,0.0000,0.0000,0.3661,1.0000,0.0130,0.0058,0.0573,MOSTLY CENTERED,0
1063.8,15,0.0000,0.4583,0.9997,0.0000,0.4463,1.0000,0.0167,0.0054,0.0573,DRIFT RIGHT — too close to right line,-1
1130.4,16,0.0000,0.4560,1.0000,0.0000,0.4560,1.0000,0.0180,0.0052,0.0601,DRIFT RIGHT — too close to right line,-1
1199.2,17,0.0000,0.4560,1.0000,0.0000,0.5081,0.9768,0.0195,0.0034,0.0567,DRIFT RIGHT — too close to right line,-1
1269.6,18,0.0000,0.4560,1.0000,0.2031,0.8984,0.0000,0.0372,0.0000,0.0303,DRIFT RIGHT — too close to right line,-1
1351.9,19,0.0000,0.4560,0.9768,1.0000,0.4219,0.0000,0.0497,0.0000,0.0133,DRIFT RIGHT — too close to right line,0
1405.6,20,0.2031,0.4560,0.0000,1.0000,0.1781,0.0000,0.0614,0.0000,0.0060,MOSTLY CENTERED,1
1474.7,21,1.0000,0.4219,0.0000,1.0000,0.0441,0.0000,0.0872,0.0018,0.0020,DRIFT LEFT — too close to left line,1
1546.2,22,1.0000,0.1781,0.0000,1.0000,0.0591,0.0000,0.0844,0.0006,0.0026,DRIFT LEFT — too close to left line,0
1617.6,23,1.0000,0.0888,0.0000,1.0000,0.0888,0.0000,0.0738,0.0000,0.0034,DRIFT LEFT — too close to left line,0
1688.0,24,1.0000,0.0888,0.0000,1.0000,0.3570,0.0000,0.0627,0.0001,0.0136,DRIFT LEFT — too close to left line,1
1759.8,25,1.0000,0.0888,0.0000,1.0000,0.3511,0.0000,0.0640,0.0000,0.0136,DRIFT LEFT — too close to left line,1
1828.0,26,1.0000,0.3006,0.0000,1.0000,0.3006,0.0000,0.0649,0.0003,0.0115,DRIFT LEFT — too close to left line,1
1898.9,27,1.0000,0.3511,0.0000,0.6209,0.6896,0.0000,0.0435,0.0000,0.0229,DRIFT LEFT — too close to left line,1
1970.4,28,1.0000,0.3570,0.0000,0.0000,0.6690,0.6620,0.0194,0.0000,0.0386,DRIFT LEFT — too close to left line,0
2040.8,29,0.6209,0.3511,0.0000,0.0000,0.2340,1.0000,0.0059,0.0000,0.0448,DRIFT LEFT — too close to left line,1
2111.1,30,0.0000,0.3006,0.6620,0.0000,0.0052,1.0000,0.0002,0.0065,0.0664,DRIFT RIGHT — too close to right line,-1
2181.3,31,0.0000,0.2340,1.0000,0.0000,0.0000,1.0000,0.0000,0.0059,0.0678,DRIFT RIGHT — too close to right line,-1
2249.0,32,0.0000,0.0464,1.0000,0.0000,0.0464,1.0000,0.0013,0.0001,0.0551,DRIFT RIGHT — too close to right line,-1
2320.7,33,0.0000,0.0464,1.0000,0.0000,0.1963,1.0000,0.0051,0.0000,0.0466,DRIFT RIGHT — too close to right line,-1
2391.0,34,0.0000,0.0464,1.0000,0.0000,0.4969,1.0000,0.0128,0.0000,0.0386,DRIFT RIGHT — too close to right line,-1
2463.0,35,0.0000,0.1963,1.0000,1.0000,0.3903,0.0000,0.0513,0.0000,0.0124,DRIFT RIGHT — too close to right line,-1
2533.1,36,0.0000,0.1963,1.0000,1.0000,0.0727,0.0000,0.0909,0.0000,0.0034,DRIFT RIGHT — too close to right line,-1
2605.2,37,1.0000,0.1963,0.0000,1.0000,0.0168,0.0000,0.1210,0.0006,0.0010,DRIFT LEFT — too close to left line,1
2677.0,38,1.0000,0.0727,0.0000,1.0000,0.0000,0.0000,0.1651,0.0156,0.0000,DRIFT LEFT — too close to left line,1
2748.8,39,1.0000,0.0168,0.0000,1.0000,0.0000,0.0000,0.1879,0.0444,0.0000,DRIFT LEFT — too close to left line,0
2820.5,40,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.1987,0.0247,0.0000,DRIFT LEFT — too close to left line,1
2891.7,41,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.1998,0.0142,0.0000,DRIFT LEFT — too close to left line,1
2961.9,42,1.0000,0.0000,0.0000,1.0000,0.0017,0.0000,0.1989,0.0087,0.0002,DRIFT LEFT — too close to left line,0
3033.7,43,1.0000,0.0000,0.0000,1.0000,0.0098,0.0000,0.1737,0.0025,0.0009,DRIFT LEFT — too close to left line,1
3100.6,44,1.0000,0.0017,0.0000,1.0000,0.0488,0.0000,0.1337,0.0000,0.0033,DRIFT LEFT — too close to left line,1
3171.9,45,1.0000,0.0098,0.0000,1.0000,0.0494,0.0000,0.1184,0.0000,0.0030,DRIFT LEFT — too close to left line,1
3243.3,46,1.0000,0.0488,0.0000,1.0000,0.0624,0.0000,0.0639,0.0000,0.0021,DRIFT LEFT — too close to left line,1
