# note=lap1_baseline
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward299.6_20260610_194451.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
2.9,0,1.0000,0.0740,0.0000,1.0000,0.0740,0.0000,0.0556,0.0021,0.0021,DRIFT LEFT — too close to left line,0
69.7,1,1.0000,0.0563,0.0000,1.0000,0.0385,0.0000,0.0565,0.0020,0.0011,DRIFT LEFT — too close to left line,1
140.3,2,1.0000,0.0740,0.0000,1.0000,0.1064,0.0000,0.0592,0.0021,0.0033,DRIFT LEFT — too close to left line,1
211.1,3,1.0000,0.0563,0.0000,1.0000,0.0353,0.0000,0.0572,0.0001,0.0010,DRIFT LEFT — too close to left line,1
283.8,4,1.0000,0.0740,0.0000,1.0000,0.2036,0.0000,0.0265,0.0001,0.0030,DRIFT LEFT — too close to left line,1
353.6,5,1.0000,0.1064,0.0000,1.0000,0.2573,0.0000,0.0238,0.0008,0.0035,DRIFT LEFT — too close to left line,1
424.9,6,1.0000,0.2036,0.0000,0.0000,0.5000,0.0000,0.0054,0.0011,0.0000,DRIFT LEFT — too close to left line,0
496.6,7,1.0000,0.2573,0.0000,0.0000,0.5000,0.0000,0.0000,0.0079,0.0000,DRIFT LEFT — too close to left line,1
565.2,8,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0010,0.0103,0.0007,MOSTLY CENTERED,0
635.7,9,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0121,0.0108,0.0039,MOSTLY CENTERED,0
707.7,10,0.0000,0.5000,0.0000,1.0000,0.3310,0.0000,0.0214,0.0042,0.0043,MOSTLY CENTERED,0
775.7,11,0.0000,0.5000,0.0000,1.0000,0.3504,0.0000,0.0355,0.0142,0.0078,MOSTLY CENTERED,0
842.0,12,1.0000,0.3787,0.0000,1.0000,0.3787,0.0000,0.0347,0.0105,0.0083,DRIFT LEFT — too close to left line,1
914.5,13,1.0000,0.3787,0.0000,0.7069,0.6327,0.0000,0.0494,0.0107,0.0236,DRIFT LEFT — too close to left line,0
1019.3,14,1.0000,0.3787,0.0000,0.0000,0.7761,0.3996,0.0677,0.0150,0.1015,DRIFT LEFT — too close to left line,1
1052.8,15,0.7069,0.6327,0.0000,0.0000,0.7336,0.4835,0.0930,0.0162,0.1523,DRIFT LEFT — too close to left line,0
1119.2,16,0.0000,0.7336,0.3996,0.0000,0.7468,0.4714,0.1067,0.0114,0.1726,CENTERED,-1
1186.4,17,0.0000,0.7468,0.3996,0.0000,0.8530,0.2667,0.1671,0.0079,0.2185,CENTERED,0
1258.8,18,0.0000,0.7761,0.3996,0.0000,0.8362,0.3123,0.1767,0.0045,0.2421,CENTERED,-1
1328.0,19,0.0000,0.7822,0.3123,0.3952,0.7822,0.0000,0.1698,0.0126,0.1138,CENTERED,0
1399.3,20,0.0000,0.8362,0.2667,0.2521,0.8695,0.0000,0.1941,0.0025,0.1506,CENTERED,0
1471.0,21,0.2521,0.8469,0.0000,0.3058,0.8469,0.0000,0.2040,0.0001,0.1499,CENTERED,0
1544.0,22,0.2751,0.8469,0.0000,0.2751,0.8624,0.0000,0.2042,0.0000,0.1548,CENTERED,0
1611.9,23,0.2751,0.8624,0.0000,0.1314,0.9343,0.0000,0.2037,0.0000,0.1786,CENTERED,0
1684.5,24,0.2521,0.8695,0.0000,0.1450,0.9275,0.0000,0.2006,0.0000,0.1735,CENTERED,0
1754.0,25,0.1450,0.9275,0.0000,0.1074,0.9463,0.0000,0.1963,0.0000,0.1763,CENTERED,0
1825.0,26,0.1314,0.9343,0.0000,0.0000,0.9528,0.0943,0.1576,0.0000,0.1732,CENTERED,0
1897.0,27,0.1074,0.9343,0.0000,0.0000,0.8418,0.3163,0.1226,0.0000,0.1687,CENTERED,0
1966.8,28,0.0000,0.9275,0.0943,0.0000,0.5756,0.8487,0.0642,0.0000,0.1589,CENTERED,0
2034.8,29,0.0000,0.8418,0.3163,0.0000,0.3422,1.0000,0.0317,0.0000,0.1536,CENTERED,0
2106.4,30,0.0000,0.5756,0.8487,0.0000,0.0000,1.0000,0.0000,0.0002,0.1136,DRIFT RIGHT — too close to right line,-1
2177.0,31,0.0000,0.3422,1.0000,0.0000,0.0000,1.0000,0.0000,0.0002,0.1133,DRIFT RIGHT — too close to right line,-1
2244.9,32,0.0000,0.0016,1.0000,0.0000,0.0016,1.0000,0.0001,0.0003,0.1066,DRIFT RIGHT — too close to right line,-1
2315.0,33,0.0000,0.0016,1.0000,0.0000,0.9269,0.1456,0.0513,0.0002,0.0593,DRIFT RIGHT — too close to right line,-1
2384.7,34,0.0000,0.0016,1.0000,1.0000,0.1901,0.0000,0.2726,0.0000,0.0286,DRIFT RIGHT — too close to right line,-1
2451.9,35,0.0000,0.0802,0.1456,1.0000,0.0802,0.0000,0.3983,0.0001,0.0166,UNCLEAR — check threshold / lighting,0
2523.4,36,1.0000,0.0802,0.0000,1.0000,0.0006,0.0000,0.5799,0.0000,0.0002,DRIFT LEFT — too close to left line,1
2594.9,37,1.0000,0.0802,0.0000,1.0000,0.0009,0.0000,0.7755,0.0000,0.0003,DRIFT LEFT — too close to left line,1
