# note=lap1_baseline
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward299.6_20260610_194451.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
1.6,0,0.0000,0.4297,1.0000,0.0000,0.4297,1.0000,0.0215,0.0064,0.0772,DRIFT RIGHT — too close to right line,-1
68.8,1,0.0000,0.4440,1.0000,0.0000,0.4582,1.0000,0.0231,0.0068,0.0762,DRIFT RIGHT — too close to right line,-1
142.3,2,0.0000,0.4582,1.0000,0.0000,0.4982,0.9903,0.0252,0.0066,0.0748,DRIFT RIGHT — too close to right line,-1
212.6,3,0.0000,0.4782,0.9951,0.0000,0.5718,0.8413,0.0270,0.0066,0.0662,DRIFT RIGHT — too close to right line,-1
283.2,4,0.0000,0.4982,0.9903,0.0000,0.8038,0.3864,0.0319,0.0018,0.0472,DRIFT RIGHT — too close to right line,-1
352.3,5,0.0000,0.5718,0.8413,0.1416,0.9279,0.0000,0.0430,0.0007,0.0373,DRIFT RIGHT — too close to right line,0
421.6,6,0.0000,0.5718,0.3864,1.0000,0.4186,0.0000,0.0499,0.0000,0.0132,CENTERED,-1
491.7,7,0.1416,0.5718,0.0000,1.0000,0.0265,0.0000,0.0639,0.0002,0.0009,CENTERED,0
563.7,8,1.0000,0.4186,0.0000,1.0000,0.0000,0.0000,0.0696,0.0039,0.0000,DRIFT LEFT — too close to left line,1
635.3,9,1.0000,0.1094,0.0000,1.0000,0.1094,0.0000,0.0792,0.0045,0.0046,DRIFT LEFT — too close to left line,1
707.1,10,1.0000,0.0748,0.0000,1.0000,0.0748,0.0000,0.0901,0.0023,0.0035,DRIFT LEFT — too close to left line,1
778.8,11,1.0000,0.0748,0.0000,1.0000,0.1075,0.0000,0.0558,0.0000,0.0032,DRIFT LEFT — too close to left line,0
850.3,12,1.0000,0.1075,0.0000,0.9907,0.5047,0.0000,0.0470,0.0000,0.0159,DRIFT LEFT — too close to left line,1
919.1,13,1.0000,0.1094,0.0000,0.0000,0.8024,0.3739,0.0242,0.0066,0.0353,DRIFT LEFT — too close to left line,0
986.8,14,0.9907,0.5047,0.0000,0.0000,0.8476,0.2792,0.0287,0.0074,0.0381,DRIFT LEFT — too close to left line,1
1058.5,15,0.0000,0.8024,0.1331,0.0000,0.9193,0.1331,0.0341,0.0076,0.0389,CENTERED,0
1129.8,16,0.0000,0.8024,0.2792,0.0000,0.7644,0.4602,0.0263,0.0036,0.0420,CENTERED,-1
1202.2,17,0.0000,0.8024,0.3739,0.0000,0.2768,1.0000,0.0103,0.0037,0.0636,CENTERED,0
