# note=autonomous_lap
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward295.0_20260610_195556.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
1.2,0,0.0000,0.9454,0.0792,0.0000,0.9454,0.0792,0.0297,0.0078,0.0322,CENTERED,0
73.0,1,0.0000,0.9264,0.1171,0.0000,0.9074,0.1550,0.0280,0.0082,0.0328,CENTERED,0
145.2,2,0.0000,0.9074,0.1550,0.0000,0.8887,0.1975,0.0278,0.0070,0.0339,CENTERED,0
217.1,3,0.0000,0.8980,0.1762,0.0000,0.8854,0.2037,0.0276,0.0071,0.0339,CENTERED,-1
284.8,4,0.0000,0.9074,0.1550,0.0079,0.9828,0.0000,0.0323,0.0066,0.0321,CENTERED,0
351.0,5,0.0000,0.9074,0.1550,0.0813,0.9471,0.0000,0.0345,0.0064,0.0318,CENTERED,0
423.6,6,0.0079,0.8887,0.0000,0.2672,0.8541,0.0000,0.0320,0.0071,0.0244,CENTERED,0
491.0,7,0.0813,0.8854,0.0000,0.5045,0.7387,0.0000,0.0459,0.0060,0.0274,CENTERED,0
558.5,8,0.2672,0.8541,0.0000,0.6388,0.6728,0.0000,0.0512,0.0058,0.0264,CENTERED,0
630.2,9,0.4753,0.7534,0.0000,0.4753,0.7534,0.0000,0.0380,0.0059,0.0234,DRIFT LEFT — too close to left line,0
701.8,10,0.4753,0.7534,0.0000,0.4578,0.7643,0.0000,0.0373,0.0045,0.0234,DRIFT LEFT — too close to left line,0
775.8,11,0.4753,0.7534,0.0000,0.4308,0.7761,0.0000,0.0357,0.0054,0.0231,DRIFT LEFT — too close to left line,0
842.1,12,0.4578,0.7643,0.0000,0.3621,0.8098,0.0000,0.0336,0.0056,0.0233,DRIFT LEFT — too close to left line,0
910.4,13,0.4308,0.7761,0.0000,0.3906,0.7950,0.0000,0.0348,0.0060,0.0234,MOSTLY CENTERED,0
977.9,14,0.4308,0.7761,0.0000,0.5497,0.7166,0.0000,0.0401,0.0059,0.0228,MOSTLY CENTERED,0
1049.5,15,0.4308,0.7761,0.0000,0.4523,0.7668,0.0000,0.0357,0.0045,0.0225,MOSTLY CENTERED,0
1117.9,16,0.4523,0.7668,0.0000,0.6281,0.6801,0.0000,0.0439,0.0043,0.0229,DRIFT LEFT — too close to left line,0
1186.5,17,0.5497,0.7166,0.0000,0.6919,0.6482,0.0000,0.0448,0.0045,0.0218,DRIFT LEFT — too close to left line,0
1258.3,18,0.6186,0.6839,0.0000,0.6186,0.6839,0.0000,0.0408,0.0049,0.0215,DRIFT LEFT — too close to left line,0
1329.0,19,0.6281,0.6801,0.0000,0.7554,0.6175,0.0000,0.0505,0.0038,0.0228,DRIFT LEFT — too close to left line,0
1396.7,20,0.6919,0.6482,0.0000,0.7790,0.6074,0.0000,0.0484,0.0025,0.0213,DRIFT LEFT — too close to left line,0
1466.4,21,0.6919,0.6482,0.0000,0.5085,0.7416,0.0000,0.0363,0.0028,0.0216,DRIFT LEFT — too close to left line,0
1533.5,22,0.6832,0.6556,0.0000,0.6832,0.6556,0.0000,0.0433,0.0021,0.0213,DRIFT LEFT — too close to left line,0
1604.5,23,0.6832,0.6556,0.0000,0.5529,0.7197,0.0000,0.0389,0.0026,0.0220,DRIFT LEFT — too close to left line,0
1676.8,24,0.5726,0.7102,0.0000,0.5726,0.7102,0.0000,0.0388,0.0024,0.0215,DRIFT LEFT — too close to left line,0
1748.2,25,0.5726,0.7102,0.0000,0.6726,0.6623,0.0000,0.0433,0.0010,0.0215,DRIFT LEFT — too close to left line,0
1828.7,26,0.6726,0.6623,0.0000,0.8161,0.5903,0.0000,0.0481,0.0014,0.0202,DRIFT LEFT — too close to left line,0
1890.5,27,0.6726,0.6623,0.0000,0.8236,0.5869,0.0000,0.0457,0.0010,0.0190,DRIFT LEFT — too close to left line,0
1963.0,28,0.8161,0.5903,0.0000,0.9492,0.5245,0.0000,0.0501,0.0009,0.0178,DRIFT LEFT — too close to left line,0
2030.6,29,0.8236,0.5869,0.0000,0.8994,0.5491,0.0000,0.0474,0.0010,0.0180,DRIFT LEFT — too close to left line,1
2102.4,30,0.8994,0.5491,0.0000,0.9510,0.5237,0.0000,0.0494,0.0008,0.0176,DRIFT LEFT — too close to left line,1
2172.2,31,0.8994,0.5491,0.0000,0.8909,0.5543,0.0000,0.0480,0.0003,0.0184,DRIFT LEFT — too close to left line,0
2244.8,32,0.8994,0.5491,0.0000,0.0000,0.8310,0.3380,0.0210,0.0000,0.0295,DRIFT LEFT — too close to left line,1
2313.1,33,0.8909,0.5491,0.0000,0.0000,0.5096,0.9809,0.0132,0.0000,0.0386,DRIFT LEFT — too close to left line,0
2384.8,34,0.0000,0.5237,0.3380,0.0000,0.0214,1.0000,0.0006,0.0003,0.0564,MOSTLY CENTERED,-1
2454.8,35,0.0000,0.5096,0.9809,0.0000,0.0000,1.0000,0.0000,0.0013,0.0629,DRIFT RIGHT — too close to right line,-1
2521.6,36,0.0000,0.0214,1.0000,0.0000,0.0000,1.0000,0.0000,0.0049,0.0640,DRIFT RIGHT — too close to right line,-1
2593.1,37,0.0000,0.0093,1.0000,0.0000,0.0093,1.0000,0.0003,0.0001,0.0561,DRIFT RIGHT — too close to right line,-1
2661.8,38,0.0000,0.0093,1.0000,0.0000,0.2666,1.0000,0.0074,0.0000,0.0483,DRIFT RIGHT — too close to right line,0
2729.6,39,0.0000,0.0093,1.0000,0.5261,0.7370,0.0000,0.0254,0.0000,0.0148,DRIFT RIGHT — too close to right line,-1
2801.0,40,0.0000,0.2517,1.0000,1.0000,0.2517,0.0000,0.0590,0.0000,0.0085,DRIFT RIGHT — too close to right line,-1
2874.6,41,0.5261,0.2517,0.0000,1.0000,0.2415,0.0000,0.0637,0.0000,0.0087,DRIFT LEFT — too close to left line,0
2940.4,42,1.0000,0.2517,0.0000,1.0000,0.0558,0.0000,0.0986,0.0000,0.0028,DRIFT LEFT — too close to left line,0
