# note=autonomous_lap
# remote_ip=192.168.1.170
# hz=15.0 sensor_window=5 threshold=60
# tape_color=auto
# weights=camera/trained_weights/camera_reward295.0_20260610_195556.npy
t_ms,step,L,C,R,raw_L,raw_C,raw_R,col_L,col_C,col_R,lane_state,action
3183.6,45,1.0000,0.1805,0.0000,0.2051,0.8974,0.0000,0.0942,0.0000,0.0766,DRIFT LEFT — too close to left line,0
3254.8,46,1.0000,0.1805,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.1007,DRIFT LEFT — too close to left line,1
3325.7,47,0.2051,0.1805,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.1259,UNCLEAR — check threshold / lighting,0
3397.3,48,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.1198,DRIFT RIGHT — too close to right line,-1
3469.1,49,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0024,0.1515,DRIFT RIGHT — too close to right line,0
3543.6,50,0.0000,0.0000,1.0000,0.0000,0.0013,1.0000,0.0001,0.0003,0.1384,DRIFT RIGHT — too close to right line,-1
3611.8,51,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0863,DRIFT RIGHT — too close to right line,-1
3683.9,52,0.0000,0.0000,1.0000,0.0000,0.5477,0.9045,0.0243,0.0000,0.0644,DRIFT RIGHT — too close to right line,-1
3751.8,53,0.0000,0.0013,1.0000,1.0000,0.1575,0.0000,0.1946,0.0000,0.0166,DRIFT RIGHT — too close to right line,-1
3823.5,54,0.0000,0.0013,0.9045,1.0000,0.0013,0.0000,0.4106,0.0001,0.0003,DRIFT RIGHT — too close to right line,-1
3890.5,55,1.0000,0.0013,0.0000,1.0000,0.0000,0.0000,0.6316,0.0000,0.0000,DRIFT LEFT — too close to left line,1
3962.2,56,1.0000,0.0013,0.0000,1.0000,0.0005,0.0000,0.7217,0.0000,0.0002,DRIFT LEFT — too close to left line,1
4030.6,57,1.0000,0.0005,0.0000,1.0000,0.0000,0.0000,0.8332,0.0005,0.0000,DRIFT LEFT — too close to left line,1
4102.0,58,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.6578,0.0000,0.0000,DRIFT LEFT — too close to left line,1
4173.9,59,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.3486,0.0000,0.0000,DRIFT LEFT — too close to left line,1
4244.9,60,1.0000,0.0000,0.0000,1.0000,0.1775,0.0000,0.0660,0.0000,0.0064,DRIFT LEFT — too close to left line,1
4316.6,61,1.0000,0.0000,0.0000,0.0000,0.7276,0.5449,0.0164,0.0000,0.0287,DRIFT LEFT — too close to left line,1
4388.5,62,1.0000,0.0062,0.0000,0.0000,0.0062,1.0000,0.0003,0.0000,0.0844,DRIFT LEFT — too close to left line,1
4455.7,63,0.0000,0.0062,0.5449,0.0000,0.0000,1.0000,0.0000,0.0000,0.1644,DRIFT RIGHT — too close to right line,-1
4522.5,64,0.0000,0.0062,1.0000,0.0000,0.0000,1.0000,0.0000,0.0045,0.2136,DRIFT RIGHT — too close to right line,-1
4593.7,65,0.0000,0.0062,1.0000,0.0000,0.0064,1.0000,0.0010,0.0410,0.2757,DRIFT RIGHT — too close to right line,-1
4665.1,66,0.0000,0.0062,1.0000,0.0000,0.0377,1.0000,0.0048,0.0107,0.2444,DRIFT RIGHT — too close to right line,-1
4734.8,67,0.0000,0.0064,1.0000,0.0000,0.0590,1.0000,0.0056,0.0000,0.1840,DRIFT RIGHT — too close to right line,-1
4806.4,68,0.0000,0.0360,1.0000,0.0000,0.0360,1.0000,0.0022,0.0000,0.1191,DRIFT RIGHT — too close to right line,-1
4875.5,69,0.0000,0.0377,1.0000,0.0000,0.9018,0.1799,0.0361,0.0045,0.0432,DRIFT RIGHT — too close to right line,-1
4947.2,70,0.0000,0.0590,1.0000,1.0000,0.1406,0.0000,0.0932,0.0043,0.0071,DRIFT RIGHT — too close to right line,-1
5018.9,71,0.0000,0.0590,0.1799,1.0000,0.0000,0.0000,0.3588,0.0098,0.0000,UNCLEAR — check threshold / lighting,0
5090.5,72,1.0000,0.0360,0.0000,1.0000,0.0000,0.0000,0.4634,0.0050,0.0000,DRIFT LEFT — too close to left line,1
5162.4,73,1.0000,0.0005,0.0000,1.0000,0.0005,0.0000,0.6574,0.0159,0.0002,DRIFT LEFT — too close to left line,1
5231.8,74,1.0000,0.0003,0.0000,1.0000,0.0003,0.0000,0.6041,0.0133,0.0001,DRIFT LEFT — too close to left line,1
5301.9,75,1.0000,0.0003,0.0000,1.0000,0.0004,0.0000,0.4776,0.0066,0.0001,DRIFT LEFT — too close to left line,1
